TC,TC_Description,TC_Main_Category,TC_Sub_Category
KE1B,Process complete plan,CO,Profitability Analysis
KE1C,Delete Plan Data,CO,Profitability Analysis
KE1D,Forecast Plan Data,CO,Profitability Analysis
KE1E,Transfer Plan Data to SOP,CO,Profitability Analysis
KE1F,Complete Plan Management,CO,Profitability Analysis
KE1G,Top-Down Complete Plan,CO,Profitability Analysis
KE1H,CO-PA Planning: Set Planner Profile,CO,Profitability Analysis
KE1K,Transfer to LIS,CO,Profitability Analysis
KE1V,Transfer to EC-PCA,CO,Profitability Analysis
KE1W,Transfer of CO-PA Plan Data to FI-GL,CO,Profitability Analysis
KE1Y,Transfer of CO-PA Plan Data to FI-SL,CO,Profitability Analysis
KE21,Create CO-PA line item,CO,Profitability Analysis
KE21N,CO-PA Line Item Entry,CO,Profitability Analysis
KE21S,CO-PA Valuation Simulation,CO,Profitability Analysis
KE23,Display CO-PA line item,CO,Profitability Analysis
KE23N,CO-PA Line Item Display,CO,Profitability Analysis
KE24,Line Item Display - Actual Data,CO,Profitability Analysis
KE25,Line Item Display - Plan Data,CO,Profitability Analysis
KE26,Repost Accounting Document,CO,Profitability Analysis
KE27,Periodic valuation,CO,Profitability Analysis
KE27S,Reversal of KE27 Delta Line Items,CO,Profitability Analysis
KE28,Create top-down distribution,CO,Profitability Analysis
KE29,Management,CO,Profitability Analysis
KE2B,Correction to Incoming Orders,CO,Profitability Analysis
KE2C,Delete records from error file,CO,Profitability Analysis
KE2D,Display Error File,CO,Profitability Analysis
KE2K,CO-PA: Maintain Key Figures,CO,Profitability Analysis
KE30,Execute profitability report,CO,Profitability Analysis
KE31,Create profitability report,CO,Profitability Analysis
KE32,Change Report,CO,Profitability Analysis
KE33,Display Report,CO,Profitability Analysis
KE34,Create form,CO,Profitability Analysis
KE35,Change form,CO,Profitability Analysis
KE36,Display form,CO,Profitability Analysis
KE37,Maintain Report Authorization Object,CO,Profitability Analysis
KE38,Display report authorization objects,CO,Profitability Analysis
KE39,CO-PA: Reorganize report data,CO,Profitability Analysis
KE3E,Maintain Global Variables,CO,Profitability Analysis
KE3F,Create line item layout,CO,Profitability Analysis
KE3I,CO-PA: Transport tool,CO,Profitability Analysis
KE3J,Import,CO,Profitability Analysis
KE3L,Split report,CO,Profitability Analysis
KE3P,Maintain Variant Groups,CO,Profitability Analysis
KE3Q,Maintain Variants,CO,Profitability Analysis
KE3R,Schedule Variant Group,CO,Profitability Analysis
KE3S,Define Variant Group,CO,Profitability Analysis
KE3Y,Report selection,CO,Profitability Analysis
KE41,Create condition,CO,Profitability Analysis
KE42,Change condition,CO,Profitability Analysis
KE43,Display condition,CO,Profitability Analysis
KE45,Maintain View V_T258I_KO,CO,Profitability Analysis
KE49,Create Condition Table,CO,Profitability Analysis
KE4A,Change condition table,CO,Profitability Analysis
KE4B,Display condition table,CO,Profitability Analysis
KE4C,Copy Condition,CO,Profitability Analysis
KE4F,Post Incoming Orders Subsequently,CO,Profitability Analysis
KE4L,Pricing report,CO,Profitability Analysis
KE4S,Post billing documents to CO-PA,CO,Profitability Analysis
KE4S00,CO-PA: Reversal of Line Items,CO,Profitability Analysis
KE4SFI,CO-PA: Post Subsequently from FI,CO,Profitability Analysis
KE4SMM,CO-PA: Post Material Documents Subs.,CO,Profitability Analysis
KE4ST,Simulation billg docs transfer CO-PA,CO,Profitability Analysis
KE4T,Set Up Transfer of Incoming Orders,CO,Profitability Analysis
KE4TS,Simulate Doc. Transfer from Orders,CO,Profitability Analysis
KE4U,Maintain view cluster V_TKEVAx,CO,Profitability Analysis
KE50,Not_Found,Enterprice Controlling,Profit Center Accounting
KE54,Delete Profit Centers,Enterprice Controlling,Profit Center Accounting
KE56,EC-PCA: Mass Maintenance CCode Assgt,Enterprice Controlling,Profit Center Accounting
KE57,EC-PCA: Mass Maintenance CCode Assgt,Enterprice Controlling,Profit Center Accounting
KE59,EC-PCA: Create Dummy Profit Center,Enterprice Controlling,Profit Center Accounting
KE5A,EC-PCA: Call up report,Enterprice Controlling,Profit Center Accounting
KE5B,EC-PCA: Copy Balance Sheet Acct Grps,Enterprice Controlling,Profit Center Accounting
KE5T,Compare G/L Accounts FI <-> EC-PCA,Enterprice Controlling,Profit Center Accounting
KE5U,Compare and Reconcile G/L Accounts,Enterprice Controlling,Profit Center Accounting
KE5X,Profit Center: Master Data Index,Enterprice Controlling,Profit Center Accounting
KE5Y,Profit Center: Plan Line Items,Enterprice Controlling,Profit Center Accounting
KE5Z,Profit Center: Actual Line Items,Enterprice Controlling,Profit Center Accounting
KE61,EC-PCA: Cost group CCSS to GLTPC,Enterprice Controlling,Profit Center Accounting
KE62,EC-PCA: Copy Data to Plan,Enterprice Controlling,Profit Center Accounting
KE75,EC-PCA: ALE Get profit centers,Enterprice Controlling,Distribution (ALE)
KE77,EC-PCA: ALE send profit centers,Enterprice Controlling,Distribution (ALE)
KE78,EC-PCA: Execute ALE Rollup,Enterprice Controlling,Distribution (ALE)
KE79,EC-PCA: Send ALE Hierarchies,Enterprice Controlling,Distribution (ALE)
KE80,EC-PCA: Execute Drill-Down Report,Enterprice Controlling,Profit Center Accounting
KE81,EC-PCA: Create Drill-Down Report,Enterprice Controlling,Profit Center Accounting
KE82,EC-PCA: Change Drill-Down Report,Enterprice Controlling,Profit Center Accounting
KE83,EC-PCA: Display Drill-Down Report,Enterprice Controlling,Profit Center Accounting
KE84,EC-PCA: Create Form,Enterprice Controlling,Profit Center Accounting
KE85,EC-PCA: Change Form,Enterprice Controlling,Profit Center Accounting
KE86,EC-PCA: Display Form,Enterprice Controlling,Profit Center Accounting
KE8C,EC-PCA: Maintain Currency Transl.,Enterprice Controlling,Profit Center Accounting
KE8V,EC-PCA: Maintain global variables,Enterprice Controlling,Profit Center Accounting
KE91,Create Line-Item-Based Report,CO,Profitability Analysis
KE94,Create form,CO,Profitability Analysis
KE95,Change Form,CO,Profitability Analysis
KE96,Display Form,CO,Profitability Analysis
KE97,Maintain Report Authorization Object,CO,Profitability Analysis
KEA0,CO-PA: Maintain Operating Concern,CO,Profitability Analysis
KEA5,Maintain Characteristics,CO,Profitability Analysis
KEA6,Edit Value Fields,CO,Profitability Analysis
KEAF,Value Field Analysis,CO,Profitability Analysis
KEAT,Reconcile CO-PA <-> SD <-> FI,CO,Profitability Analysis
KEAW,Reconciliation Make-to-Order Prod.,CO,Profitability Analysis
KEB0,Create CO-PA DataSource,CO,Profitability Analysis
KEB2,Display Dtld Info on CO-PA DataSrce,CO,Profitability Analysis
KEB3,Activate Debugging Support,CO,Profitability Analysis
KEB4,Debugging Support Hierarchies,CO,Profitability Analysis
KEB5,Reduce Data Volumes for Test,CO,Profitability Analysis
KEBA,Display operating concern,CO,Profitability Analysis
KEBC,Change operating concern,CO,Profitability Analysis
KEBI,Set operating concern (batch-input),CO,Profitability Analysis
KEC3,Cross-table translation key CO-PA,Enterprice Controlling,Data Collection
KECM,CO-PA: Customizing Monitor,CO,Profitability Analysis
KECP,Copy Operating Concern,CO,Profitability Analysis
KED0,Derivation: Initial Screen,CO,Profitability Analysis
KEDA,Export Summarization Level,CO,Profitability Analysis
KEDB,Deletion of Test Data in CO-PA,CO,Profitability Analysis
KEDRA,COPA Customizing via ALE,CO,Profitability Analysis
KEDT,Log Summarization Logs,CO,Profitability Analysis
KEDU,CO-PA: Build Summarization Levels,CO,Profitability Analysis
KEDV,CO-PA: Maintain Summarization Levels,CO,Profitability Analysis
KEDVP,Default for Summarization Levels,CO,Profitability Analysis
KEDW,CO-PA: Fill Summ. Levels (Expert),CO,Profitability Analysis
KEDZ,Read Interface for CO-PA Log,CO,Profitability Analysis
KEE0,PCA: Generate Line Item Difference,Enterprice Controlling,Basic Settings
KEF1,Change Revaluation Keys,CO,Profitability Analysis
KEFA,Maintain Sender Structures,CO,Profitability Analysis
KEFB,Maintain Rules,CO,Profitability Analysis
KEFC,CO-PA External Data Transfer,CO,Profitability Analysis
KEFD,Maintain Rules,CO,Profitability Analysis
KEG3,Display Indirect Actual Acty Alloc.,CO,Profitability Analysis
KEG5,Execute Indirect Actual Acty Alloc.,CO,Profitability Analysis
KEG7,Create Indirect Plan Acty Alloc.,CO,Profitability Analysis
KEGB,Execute Indirect Plan Acty Alloc.,CO,Profitability Analysis
KEI1,Maintain PA Transfer Structure,CO,Profitability Analysis
KEI2,Maintain PA Transfer Structure,CO,Profitability Analysis
KEI3,Maintain PA Transfer Structure,CO,Profitability Analysis
KEK0,Test Key Figure Transaction,CO,Profitability Analysis
KELR,BW/CO-PA Retraction: Execute,CO,Tools
KELS,BW/CO-PA Retraction: Cancel,CO,Tools
KELU,BW/CO-PA Retraction: Overview,CO,Tools
KELV,BW/CO-PA Ret: Variant Query Variable,CO,Tools
KEMDM,Profit Center Master Data Maint.,Enterprice Controlling,Profit Center Accounting
KEMN,Profitability Analysis appl. menu,CO,Profitability Analysis
KEMO,Profitability report: Test monitor,CO,Profitability Analysis
KEN1,Maintain Number Range: COPA_IST,CO,Profitability Analysis
KEN2,Maint. number ranges: CO-PA planning,CO,Profitability Analysis
KEND,Realignments,CO,Profitability Analysis
KEO1,Create Enterprise Organization,CO,Cost Center Accounting
KEO2,Change Enterprise Organization,CO,Cost Center Accounting
KEO3,Display Enterprise Organization,CO,Cost Center Accounting
KEOA1,Activate Cost Centers,CO,Cost Center Accounting
KEOA2,Activate Profit Centers,CO,Cost Center Accounting
KEOD1,Reset Inactive Cost Centers,CO,Cost Center Accounting
KEOD2,Reset Inactive Profit Centers,CO,Cost Center Accounting
KEOG2,Generate Alternative Hierarchy,CO,Cost Center Accounting
KEOG3,Replace Standard Hierarhcy,CO,Cost Center Accounting
KEOV,CO-PA: Cycle Overview,CO,Profitability Analysis
KEP6,Maintain characteristics,CO,Profitability Analysis
KEP7,Display characteristics,CO,Profitability Analysis
KEP8,Operating concerns,CO,Profitability Analysis
KEPA,Char. Groups for Actual and Planning,CO,Profitability Analysis
KEPM,CO-PA Planning,CO,Profitability Analysis
KEPMU,Create Planning Level from Layout,CO,Profitability Analysis
KEPP,Check plan structure,CO,Profitability Analysis
KER1,Maintain Key Figure Scheme,CO,Profitability Analysis
KES1,CO-PA Maintain Characteristic Values,CO,Profitability Analysis
KES2,Customizing: Display characteristics,CO,Profitability Analysis
KES3,Maintain Characteristics Hierarchy,CO,Profitability Analysis
KETR,CO-PA Translation Tool,CO,Profitability Analysis
KEU1,Create Actual Transfer of CCtr Costs,CO,Profitability Analysis
KEU1N,Create Actual Transfer of CCtr Costs,CO,Profitability Analysis
KEU2,Change Actual Transfer of CCtr Costs,CO,Profitability Analysis
KEU2N,Change Actual Transfer of CCtr Costs,CO,Profitability Analysis
KEU3,Display Actl Transfer of CCtr Costs,CO,Profitability Analysis
KEU3N,Display Actl Transfer of CCtr Costs,CO,Profitability Analysis
KEU4,Delete Actual Transfer of CCtr Costs,CO,Profitability Analysis
KEU5,Perform act. cost-ctr cost transfer,CO,Profitability Analysis
KEU6,Actl Transfer of CCtr Costs;Overview,CO,Profitability Analysis
KEU7,Create Plan Transfer of CCtr Costs,CO,Profitability Analysis
KEU8,Change Plan Transfer of CCtr Costs,CO,Profitability Analysis
KEU9,Display Plan Transfer of CCtr Costs,CO,Profitability Analysis
KEUB,Perform plan cost-ctr cost transfer,CO,Profitability Analysis
KEUD,Overview Actual Assessment Cycles,CO,Profitability Analysis
KEUG,Set up cost-center cost transfer,CO,Profitability Analysis
KEV1,Create distribution key,CO,Profitability Analysis
KEV2,Change distribution key,CO,Profitability Analysis
KEVG2,Assign Characteristic Group,CO,Profitability Analysis
KEVG3,Assign Value Field Groups,CO,Profitability Analysis
KEZ5,Execute Distribution,CO,Profitability Analysis
KFTP,R/2 - R/3 - Link: File Transfer,Logistics,Logistics Information System (LIS)
KGI2,Act. Overhead:  Int.Order   Ind.Pro,CO,Overhead Cost Controlling
KGI4,Actual Overhead:Int.Ord. Coll. Proc.,CO,Overhead Cost Controlling
KGO2,Overhead Commt: Int.Orders  Ind.Pro.,CO,Overhead Cost Controlling
KGO4,Overhead Commt: Int.Orders  Col.Pro.,CO,Overhead Cost Controlling
KGP2,Overhead Plan.: Int.Orders  Ind.Pro.,CO,Overhead Cost Controlling
KGP4,Overhead Plan.: Int.Orders  Col.Pro.,CO,Overhead Cost Controlling
KGST,Control Tables: Consistency Check,Cross Application,Local Currency Changeover
KIMS,R/2 - R/3 - Link: IMS Systems,Logistics,Logistics Information System (LIS)
KISR,Execute Actual Segment Adjustment,CO,Cost Center Accounting
KJH1,Create WBS Element Groups,CO,Controlling
KJH2,Change WBS Element Groups,CO,Controlling
KJH3,Display WBS Element Groups,CO,Overhead Cost Controlling
KK01,Create Statistical Figure,CO,Overhead Cost Controlling
KK02,Change Statistical Figure,CO,Overhead Cost Controlling
KK03,Display Statistical Key Figures,CO,Overhead Cost Controlling
KK04,Stat.Key Figures: Master Data Report,CO,Overhead Cost Controlling
KK05,Create Cond. Table (Price Overhead),CO,Overhead Cost Orders
KK06,Change Cond.Table (Price Overhead),CO,Overhead Cost Orders
KK07,Display Cond.Table (Price Overhead),CO,Overhead Cost Orders
KK11,Create Condition,SD,Conditions
KK12,Change Condition,SD,Conditions
KK13,Display Condition,SD,Conditions
KK14,Create Condition with Reference,SD,Conditions
KK87,Actual settmt: prodn cost collector,CO,Overhead Cost Orders
KK88,Actual Settlement: Cost Objects,CO,Overhead Cost Orders
KKA0,Maintain Cutoff Period,CO,Cost Object Controlling
KKA0P,Maintain Cutoff Period,CO,Cost Object Controlling
KKA1,Order Results Analysis and WIP Calc.,CO,Cost Object Controlling
KKA1P,Order Results Analysis and WIP Calc.,CO,Cost Object Controlling
KKA2,Project Results Anal. and WIP Calc.,CO,Cost Object Controlling
KKA2P,Project Results Anal. and WIP Calc.,CO,Cost Object Controlling
KKA3,Sales Document Item Results Analysis,CO,Cost Object Controlling
KKA5,Create RA Data for WBS Element,CO,Cost Object Controlling
KKA7,Delete Results Anal. Data for Order,CO,Cost Object Controlling
KKA8,Delete RA Data for WBS Element,CO,Cost Object Controlling
KKA8P,Delete RA Data for WBS Element,CO,Cost Object Controlling
KKA9,Delete RA Data for Sales Order,CO,Cost Object Controlling
KKAA,Sales Document Line Items Res.Anal.,CO,Overhead Cost Controlling
KKAB,Run Selected Reports,CO,Product Cost Controlling Information System
KKAC,Sales Order Hierarchy Display,CO,Product Cost Controlling Information System
KKAE,Results Analysis: Display Worklist,CO,Cost Object Controlling
KKAG,WIP: Display Worklist,CO,Cost Object Controlling
KKAI,Actual Results Analysis: Orders,CO,Cost Object Controlling
KKAJ,Actual Results Analysis: WBS Elem.,CO,Cost Object Controlling
KKAK,Actual Results Analysis: Sales Ordrs,CO,Cost Object Controlling
KKAL,Results Analysis: Display Log,CO,Cost Object Controlling
KKAM,Make-to-order,CO,Cost Object Controlling
KKAO,WIP Calc.: Collective Processing,CO,Cost Object Controlling
KKAQ,Display WIP - Collective Processing,CO,Cost Object Controlling
KKAS,WIP Calc. for Product Cost Coll.,CO,Cost Object Controlling
KKAT,WIP Display for Product Cost Coll.,CO,Cost Object Controlling
KKAV,WIP Calculation for Cost Object Hier,CO,Cost Object Controlling
KKAW,WIP Display Cost Object Hierarchy,CO,Cost Object Controlling
KKAX,WIP Calculation for Order,CO,Cost Object Controlling
KKAY,WIP Display for Order,CO,Cost Object Controlling
KKB0,Control Parameters for Info System,CO,Product Cost Controlling Information System
KKB4,Itemization for Base Planning Obj.,CO,Product Cost Controlling Information System
KKBB,Report Call CM,CO,Product Cost Controlling Information System
KKBC,Main Tree for CO-PC Info System,CO,Product Cost Controlling Information System
KKBE,Order Selection with Variances,CO,Product Cost Controlling Information System
KKBH,Planning report: Cost objects,CO,Overhead Cost Controlling
KKBU,Cost Object: Planning Overview,CO,Overhead Cost Controlling
KKC1,Create Cost Object,CO,Cost Object Controlling
KKC7,Create Product Group,CO,Product Cost by Period
KKCA,Cost Objects: Variance Line Items,CO,Cost Object Controlling
KKCP,Cost Object Line Items - Plan,CO,Cost Object Controlling
KKCS,Cost Objects: Line Items - Actual,CO,Product Cost Controlling Information System
KKDV,CO-PC: Summarization level maint.,CO,Product Cost Controlling Information System
KKE1,Add Base Planning Object,CO,Product Cost Planning
KKE2,Change Base Planning Object,CO,Product Cost Planning
KKE3,Display Base Planning Object,CO,Product Cost Planning
KKE5,Delete Test Data for Base Object,CO,Product Cost Planning
KKE7,Report Tree Base Planning Object,CO,Product Cost Controlling Information System
KKEB,Revaluate Base Planning Objects,CO,Product Cost Planning
KKEC,Compare Base Object - Unit Cost Est,CO,Product Cost Controlling Information System
KKED,BOM for Base Planning Objects,CO,Product Cost Controlling Information System
KKF1,Create CO Production Order,CO,Cost Object Controlling
KKF2,Change CO Production Order,CO,Cost Object Controlling
KKF3,Display CO Production Order,CO,Cost Object Controlling
KKF4,Change CO-FA Plan Values,CO,Cost Object Controlling
KKF6,Create Production Cost Collector,CO,Product Cost by Period
KKF6M,Create Multiple Product Cost Coll.,CO,Product Cost by Period
KKF6N,Maintain Product Cost Collector,CO,Product Cost by Period
KKF7,Change Production Cost Collector,CO,Product Cost by Period
KKF8,List Production Cost Collector,CO,Product Cost by Period
KKF9,Find CO Orders,CO,Product Cost by Period
KKFB,RS Header: Line Items Variance,CO,Overhead Cost Controlling
KKG0,Display Cutoff Period,CO,Cost Object Controlling
KKML0,Run Drilldown Report,CO,Product Cost Controlling Information System
KKN1,Actual Reval.:  Cost.Obj.   Ind.Pro.,CO,Overhead Cost Controlling
KKN2,Actual Reval.:  Cost Obj.   Col.Pro.,CO,Overhead Cost Controlling
KKO0,Run Drilldown Report,CO,Product Cost Controlling Information System
KKO1,Create Drilldown Report,CO,Product Cost Controlling Information System
KKO2,Change Drilldown Report,CO,Product Cost Controlling Information System
KKO3,Display Drilldown Report,CO,Product Cost Controlling Information System
KKO4,Create Form,CO,Product Cost Controlling Information System
KKO5,Change Form,CO,Product Cost Controlling Information System
KKO6,Display Form,CO,Product Cost Controlling Information System
KKO8,Background Processing of Reports,CO,Product Cost Controlling Information System
KKON,Reorganization of Report Data,CO,Product Cost Controlling Information System
KKOP,Reorganize Forms,CO,Product Cost Controlling Information System
KKOW,Maintain Currency Translation Type,CO,Product Cost Controlling Information System
KKP1,Create Hierarchy Master Record,CO,Product Cost by Period
KKP2,Change Hierarchy Master Record,CO,Product Cost by Period
KKP4,Display Cost Object Hierarchy,CO,Product Cost by Period
KKP5,Cost ObjHier: Indiv. Proc. Variances,CO,Product Cost by Period
KKP6,Cost Object: Analysis,CO,Product Cost by Period
KKPA,Create Cost Est w/o Qty Structure,CO,Product Cost Planning
KKPAN,Create Cost Est. w/o Qty Structure,CO,Product Cost Planning
KKPB,Change Cost Est w/o Qty Structure,CO,Product Cost Planning
KKPBN,Change Cost Est. w/o Quantity Struct,CO,Product Cost Planning
KKPC,Display Cost Est w/o Qty Structure,CO,Product Cost Planning
KKPCN,Display Cost Est. w/o Qty Structure,CO,Product Cost Planning
KKPD,Order List for Process Manufacturing,CO,Product Cost by Period
KKPHIE,Cost Object Hierarchy,CO,Product Cost by Period
KKPJ,Actual OHead: Cost Obj Collec Proc.,CO,Cost Object Controlling
KKPN,Material Assignment,CO,Cost Object Controlling
KKPT,Cost Obj Hier: Coll. Proc. Variances,CO,Product Cost by Period
KKPV,Delete Transaction Data,CO,Cost Object Controlling
KKPX,Actual Cost Distribution: Cost Obj.,CO,Product Cost by Period
KKPY,Actual Cost Distribution: Cost Obj.,CO,Product Cost by Period
KKPZ,Actual Overhead: Cost Obj   Individ.,CO,Cost Object Controlling
KKR0,CO Summarization: Hierarchy Maintena,CO,Product Cost Controlling Information System
KKR1,CO Summarization: Summ. Object Types,CO,Product Cost Controlling Information System
KKRA,Order Summarization,CO,Product Cost Controlling Information System
KKRC,Summarization: CO Object,CO,Product Cost Controlling Information System
KKRO,Data Collection: Product Drilldown,CO,Product Cost Controlling Information System
KKRP,Project Summarization,CO,Product Cost Controlling Information System
KKRS,Summarization: Repetitive Mfg (COC),CO,Product Cost Controlling Information System
KKRV,Data Collection Product Drilldown,CO,Product Cost Controlling Information System
KKRZ,Summarization: Process Mfg (COC),CO,Product Cost Controlling Information System
KKS1,Variances - Product Cost by Lot (C),CO,Product Cost by Period
KKS1N,Variances - Product Cost by Lot (C),CO,Product Cost by Period
KKS2,Variances - Product Cost by Lot (I),CO,Product Cost by Period
KKS4,Scrap - Product Cost by Lot (I),CO,Product Cost by Period
KKS5,Variances - Product Cost by Per. (C),CO,Product Cost by Period
KKS6,Variances - Product Cost by Per. (I),CO,Product Cost by Period
KKSB,Start Selected Reports,CO,Product Cost Controlling Information System
KKSD,Order List for Order-Related Prod.,CO,Product Cost Controlling Information System
KKSM,Product Cost Ctrllg: Make-to-Stock,CO,Product Cost by Period
KL01,Create Activity Type,CO,Overhead Cost Controlling
KL02,Change Activity Type,CO,Overhead Cost Controlling
KL03,Display Activity Type,CO,Overhead Cost Controlling
KL04,Delete Activity Type,CO,Overhead Cost Controlling
KL05,Activity type: Display changes,CO,Overhead Cost Controlling
KL13,Activity Types: Master Data Report,CO,Overhead Cost Controlling
KL14,Delete Activity Types,CO,Overhead Cost Controlling
KL20,Templ. Alloc. Struct. CCTR/Acty Type,CO,Activity-Based Costing
KLH1,Create Activity Type Group,CO,Overhead Cost Controlling
KLH2,Change Activity Type Group,CO,Overhead Cost Controlling
KLH3,Display Activity Type Group,CO,Overhead Cost Controlling
KLSI01,Create Collateral Provision,IS,Default Risk and Limit System
KLSI02,Change Collateral Provision,IS,Default Risk and Limit System
KLSI03,Display Collateral Provision,IS,Default Risk and Limit System
KM1V,Cost Center Selection Variants,CO,Overhead Cost Controlling
KM5V,Selection Variants: Cost Elements,CO,Overhead Cost Controlling
KM7V,Activity Type Selection Variants,CO,Overhead Cost Controlling
KNMA,Target=Actual-IAA: cost centers,CO,Activity Types
KO01,Create Internal Order,CO,Overhead Cost Orders
KO02,Change Order,CO,Overhead Cost Orders
KO03,Display Internal Order,CO,Overhead Cost Orders
KO04,Order Manager,CO,Overhead Cost Orders
KO08,Data Transfer for Order Master Data,CO,Overhead Cost Orders
KO09,Sender Structures for Trans. Data,CO,Overhead Cost Orders
KO12,Change Order Plan (Overall; Year),CO,Overhead Cost Orders
KO12N,Overall Planning for Orders: Change,CO,Manual Order Planning
KO13,Display Order Plan (Overall; Year),CO,Overhead Cost Orders
KO13N,Overall Planning for Orders: Display,CO,Manual Order Planning
KO14,Copy Planing for Internal Orders,CO,Overhead Cost Orders
KO14N,Set planner profile,CO,Manual Order Planning
KO15,Copy Actual Int.Order Data to Plan,CO,Cost Planning in the WBS
KO1ECP,Internal Orders: Easy Cost Planning,CO,Manual Order Planning
KO22,Change Order Budget,CO,Overhead Cost Orders
KO23,Display Order Budget,CO,Overhead Cost Orders
KO24,Change Order Supplement,CO,Overhead Cost Orders
KO25,Display Order Supplement,CO,Overhead Cost Orders
KO26,Change Order Return,CO,Overhead Cost Orders
KO27,Display Order Return,CO,Overhead Cost Orders
KO2A,Change budget document,FI,Funds Management
KO2B,Display budget document,FI,Funds Management
KO30,Activate Orders Availability Control,CO,Overhead Cost Orders
KO31,Reconstruct Order Availability Cntrl,CO,Overhead Cost Orders
KO32,Deactivate Order Availability Cntrl,CO,Overhead Cost Orders
KO88,Actual Settlement: Order,CO,Overhead Cost Orders
KO8A,Act.-setlmt: Order retmt. from IM,Investment Management,Investment Orders
KO8B,Display Settlement Document,CO,Overhead Cost Orders
KO8G,Act. Settlment: Int.-/Maint. Orders,CO,Overhead Cost Orders
KO8N,No. Ranges for Settlement Document,CO,Overhead Cost Orders
KO9E,Plan Settlement: Internal Order,CO,Overhead Cost Orders
KO9G,Plan Settlement: Internal Orders,CO,Overhead Cost Orders
KOA1,Send Internal Order,CO,Overhead Cost Orders
KOAB,Order Types: Budget Profile,CO,Overhead Cost Orders
KOAK,Order Types: Classification,CO,Overhead Cost Orders
KOAL,Order Types: Settlement Profile,CO,Overhead Cost Orders
KOAO,Order Types: Commitment Update,CO,Overhead Cost Orders
KOAP,Order Types: Plan Profile,CO,Overhead Cost Orders
KOB1,Orders: Actual Line Items,CO,Overhead Cost Orders
KOB2,Orders: Commitment Line Items,CO,Overhead Cost Orders
KOB3,Orders: Variance Line Items,CO,Cost Object Controlling
KOB4,Orders: Budget Line Items,CO,Overhead Cost Controlling
KOB5,Orders: Maint. Line Item Settlement,Investment Management,Investment Orders
KOB6,Orders: Settlement Line Items,Investment Management,Investment Orders
KOB7,Orders: Line Item Settlement Retirem,Investment Management,Investment Orders
KOB8,Orders: WIP/Results Anal. Line Items,CO,Overhead Cost Controlling
KOBP,Orders: Plan Line Items,CO,Overhead Cost Orders
KOC2,Run Selected Reports,CO,Overhead Cost Orders
KOC4,Cost Analysis,CO,Product Cost Controlling Information System
KOCF,Carry Forward Order Commitments,CO,Overhead Cost Orders
KOCO,Budget Carryforward for Orders,FI,Funds Management
KOH1,Create Order Group,CO,Overhead Cost Orders
KOH2,Change Order Group,CO,Overhead Cost Orders
KOH3,Display Order Group,CO,Overhead Cost Orders
KOK2,Collective Proc. Internal Orders,CO,Overhead Cost Orders
KOK3,Collective Disp. Internal Orders,CO,Overhead Cost Orders
KOK4,Aut. Collect. Proc. Internal Orders,CO,Overhead Cost Orders
KOK5,Master Data List Internal Orders,CO,Overhead Cost Orders
KOK6,Collect. Printing of Internal Orders,CO,Overhead Cost Orders
KOL1,Order List (Master Data),CO,Overhead Cost Orders
KOM1,Create CO model order,CO,Overhead Cost Orders
KOM2,Change CO Model Order,CO,Overhead Cost Orders
KOMM,Customizing pick list,PP,Production Orders
KON1,Actual Reval.:  Int.Orders  Ind.Pro.,CO,Overhead Cost Controlling
KON2,Actual Reval.:  Int.Orders  Col.Pro.,CO,Overhead Cost Controlling
KONK,Maintain Order Number Ranges,CO,Overhead Cost Orders
KOP1,Create Orders for Plan Revaluation,CO,Overhead Cost Orders
KOPU,Execute Orders for Plan Revaluation,CO,Overhead Cost Orders
KORI,Job Selection,CO,Overhead Cost Orders
KOSL,Incompleteness FT Data BOM,SD,Basic Functions
KOT2,Maintain Order Types - All Categs.,CO,Overhead Cost Orders
KOTZ,Costing Items for Order,CO,Overhead Cost Orders
KOV2,Maintain Transaction Grps for Orders,CO,Overhead Cost Orders
KP04,Set Planner Profile,CO,Cost Center Accounting
KP06,Change CElem/Activity Input Planning,CO,Cost Center Accounting
KP07,Display Planning CElem/Act. Input,CO,Cost Center Accounting
KP16,Change Plan Data for Primary Costs,CO,Cost Center Accounting
KP17,Display Plan Data for Primary Costs,CO,Cost Center Accounting
KP26,Change Plan Data for Activity Types,CO,Cost Center Accounting
KP27,Display Plan Data for Activity Types,CO,Cost Center Accounting
KP36,Change Secondary Cost Plan Data,CO,Cost Center Accounting
KP37,Display Secondary Costs Plan Data,CO,Cost Center Accounting
KP46,Change Stat. Key Figure Plan Data,CO,Cost Center Accounting
KP47,Display Stat. Key Figure Plan Data,CO,Cost Center Accounting
KP56,Change Revenue Plan Data,CO,Cost Center Accounting
KP57,Display Revenue Plan Data,CO,Cost Center Accounting
KP65,Create Cost Planning Layout,CO,Cost Center Accounting
KP66,Change Cost Planning Layout,CO,Cost Center Accounting
KP67,Display Cost Planning Layout,CO,Cost Center Accounting
KP75,Create Activity Type Planning Layout,CO,Cost Center Accounting
KP76,Change Activity Type Planning Layout,CO,Cost Center Accounting
KP77,Display Activ. Type Planning Layout,CO,Cost Center Accounting
KP80,Maintain Distribution Keys,CO,Cost Center Accounting
KP81,Create Distribution Key,CO,Cost Center Accounting
KP85,Create Stat. KF Planning Layout,CO,Cost Center Accounting
KP86,Change Stat. KF Planning Layout,CO,Cost Center Accounting
KP87,Display Stat. KF Planning Layout,CO,Cost Center Accounting
